clip_id,clip_path,source_id,source_video_id,camera_id,source_start_sec,source_end_sec,duration_sec,fps,width,height,codec,sha256,qc_status,metadata_status,sampled_frame_count,vehicle_density_score,object_count_estimate,observed_classes,activity_score,motion_variation_score,brightness_score,low_light_score,visual_variation_score,foreground_occupancy_score,persistence_score,diversity_score,small_far_score,occlusion_score,boundary_edge_score,blur_score,crowded_score,fast_motion_score,hardcase_tags,hardcase_score,event_likelihood_score,event_likelihood_level,candidate_score,source_rank,global_rank,selection_rank,recommended_for_shortlist,selection_status,selection_reason,manual_review_status,manual_review_label,manual_review_notes,signal_status,prediction_status,notes
LF_ZmCAo38w_C001,data/clips/LF_ZmCAo38w_C001.mp4,LF_ZmCAo38w,LF_ZmCAo38w,UNRESOLVED,0.0,120.0,120.0,30.0,1920,1080,h264,46f381b276f73e77cd3270abe1f77e63c4571374b086849fb8814b3f7db7f655,PASS,WARNING,12,0.251768,8.000,NOT_INFERRED_NO_DETECTOR,0.386128,0.423440,0.436243,0.000000,0.144188,0.251768,0.909091,0.427345,0.691840,0.479962,0.273855,0.000000,0.666667,0.554382,SMALL_FAR|CROWDED,0.403258,0.406719,HIGH,0.406992,35,59,59,NO,NOT_SELECTED,,,,,COMPUTED,COMPUTED_SELECTION_SIGNAL_NOT_GROUND_TRUTH,"OpenCV image/motion heuristics only; vehicle_density_score and object_count_estimate are moving-region proxies, not detections; event_likelihood is not ground truth violation."
LF_ZmCAo38w_C002,data/clips/LF_ZmCAo38w_C002.mp4,LF_ZmCAo38w,LF_ZmCAo38w,UNRESOLVED,110.0,230.0,120.0,30.0,1920,1080,h264,4372391d7ad05ecdaaab298c53a3aab34046fa3d51bcfd747c91639145e2e8a7,PASS,WARNING,12,0.194148,8.545,NOT_INFERRED_NO_DETECTOR,0.291040,0.315728,0.441950,0.000000,0.081602,0.194148,0.909091,0.235972,0.701610,0.479033,0.098611,0.000000,0.712121,0.394218,SMALL_FAR|CROWDED,0.368405,0.350189,MEDIUM,0.327633,63,133,133,NO,NOT_SELECTED,,,,,COMPUTED,COMPUTED_SELECTION_SIGNAL_NOT_GROUND_TRUTH,"OpenCV image/motion heuristics only; vehicle_density_score and object_count_estimate are moving-region proxies, not detections; event_likelihood is not ground truth violation."
LF_ZmCAo38w_C003,data/clips/LF_ZmCAo38w_C003.mp4,LF_ZmCAo38w,LF_ZmCAo38w,UNRESOLVED,220.0,340.0,120.0,30.0,1920,1080,h264,f205cf72ec16583bc461d87dcdee4d95e058a26086ed0b668e75e4f8e5261224,PASS,WARNING,12,0.338838,10.909,NOT_INFERRED_NO_DETECTOR,0.475810,0.476558,0.417903,0.000000,0.154394,0.338838,0.909091,0.621773,0.743569,0.652477,0.317994,0.000000,0.909091,0.681774,SMALL_FAR|OCCLUSION|CROWDED|FAST_MOTION,0.496976,0.462374,HIGH,0.502367,6,7,7,YES,SELECTED,source_coverage=LF_ZmCAo38w; event_likelihood=HIGH; hardcase=SMALL_FAR|OCCLUSION|CROWDED|FAST_MOTION; diversity_aware_rank; selection_signal_only_not_ground_truth,PENDING,,,COMPUTED,COMPUTED_SELECTION_SIGNAL_NOT_GROUND_TRUTH,"OpenCV image/motion heuristics only; vehicle_density_score and object_count_estimate are moving-region proxies, not detections; event_likelihood is not ground truth violation."
LF_ZmCAo38w_C004,data/clips/LF_ZmCAo38w_C004.mp4,LF_ZmCAo38w,LF_ZmCAo38w,UNRESOLVED,330.0,450.0,120.0,30.0,1920,1080,h264,d935bfec5d0e6a6e2b0895aa38718bbafce055378c7f64a2d9db5481bd0b5390,PASS,WARNING,12,0.372437,9.273,NOT_INFERRED_NO_DETECTOR,0.481247,0.454531,0.428767,0.000000,0.123712,0.372437,0.909091,0.560816,0.692349,0.592597,0.347746,0.000000,0.772727,0.643238,SMALL_FAR|CROWDED,0.457096,0.469742,HIGH,0.483975,9,12,12,NO,NOT_SELECTED,,,,,COMPUTED,COMPUTED_SELECTION_SIGNAL_NOT_GROUND_TRUTH,"OpenCV image/motion heuristics only; vehicle_density_score and object_count_estimate are moving-region proxies, not detections; event_likelihood is not ground truth violation."
LF_ZmCAo38w_C005,data/clips/LF_ZmCAo38w_C005.mp4,LF_ZmCAo38w,LF_ZmCAo38w,UNRESOLVED,440.0,560.0,120.0,30.0,1920,1080,h264,1adb044245aa0e67e0946a0d6174efbda378a66415ac669262e4b68348520b71,PASS,WARNING,12,0.306117,9.455,NOT_INFERRED_NO_DETECTOR,0.421901,0.460135,0.429927,0.000000,0.120556,0.306117,0.909091,0.497136,0.659349,0.571086,0.330539,0.000000,0.787879,0.556648,SMALL_FAR|CROWDED,0.437769,0.430602,HIGH,0.443541,21,33,33,NO,NOT_SELECTED,,,,,COMPUTED,COMPUTED_SELECTION_SIGNAL_NOT_GROUND_TRUTH,"OpenCV image/motion heuristics only; vehicle_density_score and object_count_estimate are moving-region proxies, not detections; event_likelihood is not ground truth violation."
LF_ZmCAo38w_C006,data/clips/LF_ZmCAo38w_C006.mp4,LF_ZmCAo38w,LF_ZmCAo38w,UNRESOLVED,550.0,670.0,120.0,30.0,1920,1080,h264,094f41dfff61e11d0a19a55de61f1f54b0a2eba32319c053740d08ef35518b70,PASS,WARNING,12,0.303441,9.818,NOT_INFERRED_NO_DETECTOR,0.439559,0.402080,0.422158,0.000000,0.174846,0.303441,0.909091,0.543991,0.661065,0.586548,0.280670,0.000000,0.818182,0.558631,SMALL_FAR|CROWDED,0.438347,0.444232,HIGH,0.459980,19,29,29,NO,NOT_SELECTED,,,,,COMPUTED,COMPUTED_SELECTION_SIGNAL_NOT_GROUND_TRUTH,"OpenCV image/motion heuristics only; vehicle_density_score and object_count_estimate are moving-region proxies, not detections; event_likelihood is not ground truth violation."
LF_ZmCAo38w_C007,data/clips/LF_ZmCAo38w_C007.mp4,LF_ZmCAo38w,LF_ZmCAo38w,UNRESOLVED,660.0,780.0,120.0,30.0,1920,1080,h264,8a84d125da118c18ba8906c7cd1784b09c4042d2327a674e871f3ee677b6da1b,PASS,WARNING,12,0.135581,7.727,NOT_INFERRED_NO_DETECTOR,0.240217,0.266873,0.439434,0.000000,0.095645,0.135581,0.909091,0.115624,0.739570,0.415178,0.160782,0.000000,0.643939,0.352041,SMALL_FAR,0.359032,0.319081,MEDIUM,0.284181,65,169,169,NO,NOT_SELECTED,,,,,COMPUTED,COMPUTED_SELECTION_SIGNAL_NOT_GROUND_TRUTH,"OpenCV image/motion heuristics only; vehicle_density_score and object_count_estimate are moving-region proxies, not detections; event_likelihood is not ground truth violation."
LF_ZmCAo38w_C008,data/clips/LF_ZmCAo38w_C008.mp4,LF_ZmCAo38w,LF_ZmCAo38w,UNRESOLVED,770.0,890.0,120.0,30.0,1920,1080,h264,f7851a7a5900dadcd8074e382cce917c99cdbcf58f1452fe8aeb122285765cab,PASS,WARNING,12,0.283295,8.000,NOT_INFERRED_NO_DETECTOR,0.399258,0.477277,0.437092,0.000000,0.128966,0.283295,0.909091,0.474528,0.684975,0.494150,0.321573,0.000000,0.666667,0.625143,SMALL_FAR|CROWDED,0.419180,0.418243,HIGH,0.426358,28,43,43,NO,NOT_SELECTED,,,,,COMPUTED,COMPUTED_SELECTION_SIGNAL_NOT_GROUND_TRUTH,"OpenCV image/motion heuristics only; vehicle_density_score and object_count_estimate are moving-region proxies, not detections; event_likelihood is not ground truth violation."
LF_ZmCAo38w_C009,data/clips/LF_ZmCAo38w_C009.mp4,LF_ZmCAo38w,LF_ZmCAo38w,UNRESOLVED,880.0,1000.0,120.0,30.0,1920,1080,h264,5c70811116b2148b9df697d5a78b1acff67f71fe42061540d9a001ce15311f99,PASS,WARNING,12,0.226215,8.182,NOT_INFERRED_NO_DETECTOR,0.358624,0.397424,0.431497,0.000000,0.121871,0.226215,0.909091,0.341048,0.683025,0.476797,0.206861,0.000000,0.681818,0.501416,SMALL_FAR|CROWDED,0.387917,0.386588,HIGH,0.375407,44,87,87,NO,NOT_SELECTED,,,,,COMPUTED,COMPUTED_SELECTION_SIGNAL_NOT_GROUND_TRUTH,"OpenCV image/motion heuristics only; vehicle_density_score and object_count_estimate are moving-region proxies, not detections; event_likelihood is not ground truth violation."
LF_ZmCAo38w_C010,data/clips/LF_ZmCAo38w_C010.mp4,LF_ZmCAo38w,LF_ZmCAo38w,UNRESOLVED,990.0,1110.0,120.0,30.0,1920,1080,h264,c0d1a02a479b0d85281581db753c67e51c0f541d1c6b60a0f9cb23c4bb80afbd,PASS,WARNING,12,0.191528,7.818,NOT_INFERRED_NO_DETECTOR,0.300462,0.347200,0.431901,0.000000,0.103650,0.191528,0.909091,0.226930,0.714429,0.444521,0.200037,0.000000,0.651515,0.420573,SMALL_FAR|CROWDED,0.373547,0.355810,MEDIUM,0.330936,62,130,130,NO,NOT_SELECTED,,,,,COMPUTED,COMPUTED_SELECTION_SIGNAL_NOT_GROUND_TRUTH,"OpenCV image/motion heuristics only; vehicle_density_score and object_count_estimate are moving-region proxies, not detections; event_likelihood is not ground truth violation."
