clip_id,source_id,session_id,file_path,file_name,file_size_mb,sha256,source_start_sec,source_end_sec,duration_sec,fps,frame_count,width,height,codec,metadata_source,decode_ok,decode_error_count,first_frame_ok,middle_frame_ok,last_frame_ok,full_decode_ok,duplicate_group,overlap_group,overlap_status,overlap_max_sec,overlap_max_ratio,qc_status,qc_notes
LF_ZmCAo38w_C001,LF_ZmCAo38w,,data/clips/LF_ZmCAo38w_C001.mp4,LF_ZmCAo38w_C001.mp4,99.769,46f381b276f73e77cd3270abe1f77e63c4571374b086849fb8814b3f7db7f655,0.0,120.0,120.0,30.0,3600,1920,1080,h264,ffprobe,True,0,True,True,True,,,OVL001,CHECKED_OVERLAP,10.0,0.08333333333333333,PASS,
LF_ZmCAo38w_C002,LF_ZmCAo38w,,data/clips/LF_ZmCAo38w_C002.mp4,LF_ZmCAo38w_C002.mp4,100.213,4372391d7ad05ecdaaab298c53a3aab34046fa3d51bcfd747c91639145e2e8a7,110.0,230.0,120.0,30.0,3600,1920,1080,h264,ffprobe,True,0,True,True,True,,,OVL001,CHECKED_OVERLAP,10.0,0.08333333333333333,PASS,
LF_ZmCAo38w_C003,LF_ZmCAo38w,,data/clips/LF_ZmCAo38w_C003.mp4,LF_ZmCAo38w_C003.mp4,121.947,f205cf72ec16583bc461d87dcdee4d95e058a26086ed0b668e75e4f8e5261224,220.0,340.0,120.0,30.0,3600,1920,1080,h264,ffprobe,True,0,True,True,True,,,OVL001,CHECKED_OVERLAP,10.0,0.08333333333333333,PASS,
LF_ZmCAo38w_C004,LF_ZmCAo38w,,data/clips/LF_ZmCAo38w_C004.mp4,LF_ZmCAo38w_C004.mp4,112.958,d935bfec5d0e6a6e2b0895aa38718bbafce055378c7f64a2d9db5481bd0b5390,330.0,450.0,120.0,30.0,3600,1920,1080,h264,ffprobe,True,0,True,True,True,,,OVL001,CHECKED_OVERLAP,10.0,0.08333333333333333,PASS,
LF_ZmCAo38w_C005,LF_ZmCAo38w,,data/clips/LF_ZmCAo38w_C005.mp4,LF_ZmCAo38w_C005.mp4,105.637,1adb044245aa0e67e0946a0d6174efbda378a66415ac669262e4b68348520b71,440.0,560.0,120.0,30.0,3600,1920,1080,h264,ffprobe,True,0,True,True,True,,,OVL001,CHECKED_OVERLAP,10.0,0.08333333333333333,PASS,
LF_ZmCAo38w_C006,LF_ZmCAo38w,,data/clips/LF_ZmCAo38w_C006.mp4,LF_ZmCAo38w_C006.mp4,111.274,094f41dfff61e11d0a19a55de61f1f54b0a2eba32319c053740d08ef35518b70,550.0,670.0,120.0,30.0,3600,1920,1080,h264,ffprobe,True,0,True,True,True,,,OVL001,CHECKED_OVERLAP,10.0,0.08333333333333333,PASS,
LF_ZmCAo38w_C007,LF_ZmCAo38w,,data/clips/LF_ZmCAo38w_C007.mp4,LF_ZmCAo38w_C007.mp4,96.963,8a84d125da118c18ba8906c7cd1784b09c4042d2327a674e871f3ee677b6da1b,660.0,780.0,120.0,30.0,3600,1920,1080,h264,ffprobe,True,0,True,True,True,,,OVL001,CHECKED_OVERLAP,10.0,0.08333333333333333,PASS,
LF_ZmCAo38w_C008,LF_ZmCAo38w,,data/clips/LF_ZmCAo38w_C008.mp4,LF_ZmCAo38w_C008.mp4,105.559,f7851a7a5900dadcd8074e382cce917c99cdbcf58f1452fe8aeb122285765cab,770.0,890.0,120.0,30.0,3600,1920,1080,h264,ffprobe,True,0,True,True,True,,,OVL001,CHECKED_OVERLAP,10.0,0.08333333333333333,PASS,
LF_ZmCAo38w_C009,LF_ZmCAo38w,,data/clips/LF_ZmCAo38w_C009.mp4,LF_ZmCAo38w_C009.mp4,102.738,5c70811116b2148b9df697d5a78b1acff67f71fe42061540d9a001ce15311f99,880.0,1000.0,120.0,30.0,3600,1920,1080,h264,ffprobe,True,0,True,True,True,,,OVL001,CHECKED_OVERLAP,10.0,0.08333333333333333,PASS,
LF_ZmCAo38w_C010,LF_ZmCAo38w,,data/clips/LF_ZmCAo38w_C010.mp4,LF_ZmCAo38w_C010.mp4,107.794,c0d1a02a479b0d85281581db753c67e51c0f541d1c6b60a0f9cb23c4bb80afbd,990.0,1110.0,120.0,30.0,3600,1920,1080,h264,ffprobe,True,0,True,True,True,,,OVL001,CHECKED_OVERLAP,10.0,0.08333333333333333,PASS,
LF_ZmCAo38w_C011,LF_ZmCAo38w,,data/clips/LF_ZmCAo38w_C011.mp4,LF_ZmCAo38w_C011.mp4,107.129,68db390b8f3ab89e205b1e7c54f674228ac3ddb641f96a77c5b428d9f6888d90,1100.0,1220.0,120.0,30.0,3600,1920,1080,h264,ffprobe,True,0,True,True,True,,,OVL001,CHECKED_OVERLAP,10.0,0.08333333333333333,PASS,
LF_ZmCAo38w_C012,LF_ZmCAo38w,,data/clips/LF_ZmCAo38w_C012.mp4,LF_ZmCAo38w_C012.mp4,111.593,733497bae8b13ccfbc54af50bb3825987a3152b773e75a62551e8f9fb45c1a51,1210.0,1330.0,120.0,30.0,3600,1920,1080,h264,ffprobe,True,0,True,True,True,,,OVL001,CHECKED_OVERLAP,10.0,0.08333333333333333,PASS,
LF_ZmCAo38w_C013,LF_ZmCAo38w,,data/clips/LF_ZmCAo38w_C013.mp4,LF_ZmCAo38w_C013.mp4,110.397,0891fcc99a5b65b7974c7c891ee1d738c430ea7dbfb74a13a9a716b47bbcb05c,1320.0,1440.0,120.0,30.0,3600,1920,1080,h264,ffprobe,True,0,True,True,True,,,OVL001,CHECKED_OVERLAP,10.0,0.08333333333333333,PASS,
LF_ZmCAo38w_C014,LF_ZmCAo38w,,data/clips/LF_ZmCAo38w_C014.mp4,LF_ZmCAo38w_C014.mp4,101.054,25f6651a323bf6766b2db703c42be6e55f8a6671792db3489b2265ea4aec37cc,1430.0,1550.0,120.0,30.0,3600,1920,1080,h264,ffprobe,True,0,True,True,True,,,OVL001,CHECKED_OVERLAP,10.0,0.08333333333333333,PASS,
LF_ZmCAo38w_C015,LF_ZmCAo38w,,data/clips/LF_ZmCAo38w_C015.mp4,LF_ZmCAo38w_C015.mp4,109.921,9ecfd913b1247ffe6668e24f5ce17cf4f289e454a1ae0d3dcf2ddfa692ac0c3e,1540.0,1660.0,120.0,30.0,3600,1920,1080,h264,ffprobe,True,0,True,True,True,,,OVL001,CHECKED_OVERLAP,10.0,0.08333333333333333,PASS,
LF_ZmCAo38w_C016,LF_ZmCAo38w,,data/clips/LF_ZmCAo38w_C016.mp4,LF_ZmCAo38w_C016.mp4,105.298,b6717fe5ae5fe600691505625a74ba1b35ec0f103746186400246b40418e7c66,1650.0,1770.0,120.0,30.0,3600,1920,1080,h264,ffprobe,True,0,True,True,True,,,OVL001,CHECKED_OVERLAP,10.0,0.08333333333333333,PASS,
LF_ZmCAo38w_C017,LF_ZmCAo38w,,data/clips/LF_ZmCAo38w_C017.mp4,LF_ZmCAo38w_C017.mp4,108.408,d2acb3da7e539bf15e2377f6e81fe5251b1154985896037528c016ffb0227398,1760.0,1880.0,120.0,30.0,3600,1920,1080,h264,ffprobe,True,0,True,True,True,,,OVL001,CHECKED_OVERLAP,10.0,0.08333333333333333,PASS,
