issue_id,clip_id,source_id,issue_type,severity,details,related_clip_id,action
Icc861333f58fc2aa,LF_ZmCAo38w_C001,LF_ZmCAo38w,TEMPORAL_OVERLAP,INFO,"overlap_sec=10.000, overlap_ratio=0.083333; within configured expected overlap=10.000s",LF_ZmCAo38w_C002,No automatic action; retain for inventory evidence.
I0ce782ffc194c542,LF_ZmCAo38w_C002,LF_ZmCAo38w,TEMPORAL_OVERLAP,INFO,"overlap_sec=10.000, overlap_ratio=0.083333; within configured expected overlap=10.000s",LF_ZmCAo38w_C001,No automatic action; retain for inventory evidence.
Ic90b5c3dbff1f76c,LF_ZmCAo38w_C002,LF_ZmCAo38w,TEMPORAL_OVERLAP,INFO,"overlap_sec=10.000, overlap_ratio=0.083333; within configured expected overlap=10.000s",LF_ZmCAo38w_C003,No automatic action; retain for inventory evidence.
I9eef15fdd15e5b97,LF_ZmCAo38w_C003,LF_ZmCAo38w,TEMPORAL_OVERLAP,INFO,"overlap_sec=10.000, overlap_ratio=0.083333; within configured expected overlap=10.000s",LF_ZmCAo38w_C002,No automatic action; retain for inventory evidence.
I93cc24b07822c094,LF_ZmCAo38w_C003,LF_ZmCAo38w,TEMPORAL_OVERLAP,INFO,"overlap_sec=10.000, overlap_ratio=0.083333; within configured expected overlap=10.000s",LF_ZmCAo38w_C004,No automatic action; retain for inventory evidence.
I8e5401e7c81c5e60,LF_ZmCAo38w_C004,LF_ZmCAo38w,TEMPORAL_OVERLAP,INFO,"overlap_sec=10.000, overlap_ratio=0.083333; within configured expected overlap=10.000s",LF_ZmCAo38w_C003,No automatic action; retain for inventory evidence.
I2bfc05ae5a2bcffe,LF_ZmCAo38w_C004,LF_ZmCAo38w,TEMPORAL_OVERLAP,INFO,"overlap_sec=10.000, overlap_ratio=0.083333; within configured expected overlap=10.000s",LF_ZmCAo38w_C005,No automatic action; retain for inventory evidence.
I5800c3b142aaf77b,LF_ZmCAo38w_C005,LF_ZmCAo38w,TEMPORAL_OVERLAP,INFO,"overlap_sec=10.000, overlap_ratio=0.083333; within configured expected overlap=10.000s",LF_ZmCAo38w_C004,No automatic action; retain for inventory evidence.
I503078cdfe0a74fa,LF_ZmCAo38w_C005,LF_ZmCAo38w,TEMPORAL_OVERLAP,INFO,"overlap_sec=10.000, overlap_ratio=0.083333; within configured expected overlap=10.000s",LF_ZmCAo38w_C006,No automatic action; retain for inventory evidence.
I693ed2ca0b89348f,LF_ZmCAo38w_C006,LF_ZmCAo38w,TEMPORAL_OVERLAP,INFO,"overlap_sec=10.000, overlap_ratio=0.083333; within configured expected overlap=10.000s",LF_ZmCAo38w_C005,No automatic action; retain for inventory evidence.
I4a6b5705f3140a9b,LF_ZmCAo38w_C006,LF_ZmCAo38w,TEMPORAL_OVERLAP,INFO,"overlap_sec=10.000, overlap_ratio=0.083333; within configured expected overlap=10.000s",LF_ZmCAo38w_C007,No automatic action; retain for inventory evidence.
I16178825e1e13e9d,LF_ZmCAo38w_C007,LF_ZmCAo38w,TEMPORAL_OVERLAP,INFO,"overlap_sec=10.000, overlap_ratio=0.083333; within configured expected overlap=10.000s",LF_ZmCAo38w_C006,No automatic action; retain for inventory evidence.
I4b17da6490ca7e91,LF_ZmCAo38w_C007,LF_ZmCAo38w,TEMPORAL_OVERLAP,INFO,"overlap_sec=10.000, overlap_ratio=0.083333; within configured expected overlap=10.000s",LF_ZmCAo38w_C008,No automatic action; retain for inventory evidence.
Ic2f2948d07640646,LF_ZmCAo38w_C008,LF_ZmCAo38w,TEMPORAL_OVERLAP,INFO,"overlap_sec=10.000, overlap_ratio=0.083333; within configured expected overlap=10.000s",LF_ZmCAo38w_C007,No automatic action; retain for inventory evidence.
I2d50089d1b3d5646,LF_ZmCAo38w_C008,LF_ZmCAo38w,TEMPORAL_OVERLAP,INFO,"overlap_sec=10.000, overlap_ratio=0.083333; within configured expected overlap=10.000s",LF_ZmCAo38w_C009,No automatic action; retain for inventory evidence.
I1c137c00e63bafc4,LF_ZmCAo38w_C009,LF_ZmCAo38w,TEMPORAL_OVERLAP,INFO,"overlap_sec=10.000, overlap_ratio=0.083333; within configured expected overlap=10.000s",LF_ZmCAo38w_C008,No automatic action; retain for inventory evidence.
I4d39ebc9757afa0a,LF_ZmCAo38w_C009,LF_ZmCAo38w,TEMPORAL_OVERLAP,INFO,"overlap_sec=10.000, overlap_ratio=0.083333; within configured expected overlap=10.000s",LF_ZmCAo38w_C010,No automatic action; retain for inventory evidence.
Idd78da432dfe157e,LF_ZmCAo38w_C010,LF_ZmCAo38w,TEMPORAL_OVERLAP,INFO,"overlap_sec=10.000, overlap_ratio=0.083333; within configured expected overlap=10.000s",LF_ZmCAo38w_C009,No automatic action; retain for inventory evidence.
Iec6d2ff9deba36a3,LF_ZmCAo38w_C010,LF_ZmCAo38w,TEMPORAL_OVERLAP,INFO,"overlap_sec=10.000, overlap_ratio=0.083333; within configured expected overlap=10.000s",LF_ZmCAo38w_C011,No automatic action; retain for inventory evidence.
I596d17ae8240a8ea,LF_ZmCAo38w_C011,LF_ZmCAo38w,TEMPORAL_OVERLAP,INFO,"overlap_sec=10.000, overlap_ratio=0.083333; within configured expected overlap=10.000s",LF_ZmCAo38w_C010,No automatic action; retain for inventory evidence.
Id6d402c8834054d8,LF_ZmCAo38w_C011,LF_ZmCAo38w,TEMPORAL_OVERLAP,INFO,"overlap_sec=10.000, overlap_ratio=0.083333; within configured expected overlap=10.000s",LF_ZmCAo38w_C012,No automatic action; retain for inventory evidence.
Id2b55bf61148a646,LF_ZmCAo38w_C012,LF_ZmCAo38w,TEMPORAL_OVERLAP,INFO,"overlap_sec=10.000, overlap_ratio=0.083333; within configured expected overlap=10.000s",LF_ZmCAo38w_C011,No automatic action; retain for inventory evidence.
Iedf7e3345de982fa,LF_ZmCAo38w_C012,LF_ZmCAo38w,TEMPORAL_OVERLAP,INFO,"overlap_sec=10.000, overlap_ratio=0.083333; within configured expected overlap=10.000s",LF_ZmCAo38w_C013,No automatic action; retain for inventory evidence.
