clip_id,source_id,clip_path,preview_path,event_likelihood_score,event_likelihood_level,hardcase_tags,selection_reason,manual_review_status,manual_review_label,manual_review_notes
LF_ZmCAo38w_C025,LF_ZmCAo38w,data/clips/LF_ZmCAo38w_C025.mp4,data/processed/selection/previews/LF_ZmCAo38w_C025.jpg,0.562390,HIGH,SMALL_FAR|OCCLUSION|CROWDED|FAST_MOTION,source_coverage=LF_ZmCAo38w; event_likelihood=HIGH; hardcase=SMALL_FAR|OCCLUSION|CROWDED|FAST_MOTION; diversity_aware_rank; selection_signal_only_not_ground_truth,PENDING,,
LF_ZmCAo38w_C049,LF_ZmCAo38w,data/clips/LF_ZmCAo38w_C049.mp4,data/processed/selection/previews/LF_ZmCAo38w_C049.jpg,0.487376,HIGH,SMALL_FAR|CROWDED|FAST_MOTION,source_coverage=LF_ZmCAo38w; event_likelihood=HIGH; hardcase=SMALL_FAR|CROWDED|FAST_MOTION; diversity_aware_rank; selection_signal_only_not_ground_truth,PENDING,,
LF_ZmCAo38w_C052,LF_ZmCAo38w,data/clips/LF_ZmCAo38w_C052.mp4,data/processed/selection/previews/LF_ZmCAo38w_C052.jpg,0.476062,HIGH,SMALL_FAR|OCCLUSION|CROWDED|FAST_MOTION,source_coverage=LF_ZmCAo38w; event_likelihood=HIGH; hardcase=SMALL_FAR|OCCLUSION|CROWDED|FAST_MOTION; diversity_aware_rank; selection_signal_only_not_ground_truth,PENDING,,
LF_ZmCAo38w_C021,LF_ZmCAo38w,data/clips/LF_ZmCAo38w_C021.mp4,data/processed/selection/previews/LF_ZmCAo38w_C021.jpg,0.483308,HIGH,SMALL_FAR|OCCLUSION|CROWDED|FAST_MOTION,source_coverage=LF_ZmCAo38w; event_likelihood=HIGH; hardcase=SMALL_FAR|OCCLUSION|CROWDED|FAST_MOTION; diversity_aware_rank; selection_signal_only_not_ground_truth,PENDING,,
LF_ZmCAo38w_C035,LF_ZmCAo38w,data/clips/LF_ZmCAo38w_C035.mp4,data/processed/selection/previews/LF_ZmCAo38w_C035.jpg,0.479262,HIGH,SMALL_FAR|OCCLUSION|CROWDED,source_coverage=LF_ZmCAo38w; event_likelihood=HIGH; hardcase=SMALL_FAR|OCCLUSION|CROWDED; diversity_aware_rank; selection_signal_only_not_ground_truth,PENDING,,
interrupted_2026-09-17_C144,interrupted_2026-09-17,data/clips/interrupted_2026-09-17_C144.mp4,data/processed/selection/previews/interrupted_2026-09-17_C144.jpg,0.447558,HIGH,SMALL_FAR|OCCLUSION|CROWDED,source_coverage=interrupted_2026-09-17; event_likelihood=HIGH; hardcase=SMALL_FAR|OCCLUSION|CROWDED; diversity_aware_rank; selection_signal_only_not_ground_truth,PENDING,,
LF_ZmCAo38w_C003,LF_ZmCAo38w,data/clips/LF_ZmCAo38w_C003.mp4,data/processed/selection/previews/LF_ZmCAo38w_C003.jpg,0.462374,HIGH,SMALL_FAR|OCCLUSION|CROWDED|FAST_MOTION,source_coverage=LF_ZmCAo38w; event_likelihood=HIGH; hardcase=SMALL_FAR|OCCLUSION|CROWDED|FAST_MOTION; diversity_aware_rank; selection_signal_only_not_ground_truth,PENDING,,
interrupted_2026-09-17_C142,interrupted_2026-09-17,data/clips/interrupted_2026-09-17_C142.mp4,data/processed/selection/previews/interrupted_2026-09-17_C142.jpg,0.460755,HIGH,SMALL_FAR|CROWDED,source_coverage=interrupted_2026-09-17; event_likelihood=HIGH; hardcase=SMALL_FAR|CROWDED; diversity_aware_rank; selection_signal_only_not_ground_truth,PENDING,,
LF_ZmCAo38w_C030,LF_ZmCAo38w,data/clips/LF_ZmCAo38w_C030.mp4,data/processed/selection/previews/LF_ZmCAo38w_C030.jpg,0.494875,HIGH,SMALL_FAR|CROWDED|FAST_MOTION,source_coverage=LF_ZmCAo38w; event_likelihood=HIGH; hardcase=SMALL_FAR|CROWDED|FAST_MOTION; diversity_aware_rank; selection_signal_only_not_ground_truth,PENDING,,
LF_ZmCAo38w_C046,LF_ZmCAo38w,data/clips/LF_ZmCAo38w_C046.mp4,data/processed/selection/previews/LF_ZmCAo38w_C046.jpg,0.465902,HIGH,SMALL_FAR|CROWDED|FAST_MOTION,source_coverage=LF_ZmCAo38w; event_likelihood=HIGH; hardcase=SMALL_FAR|CROWDED|FAST_MOTION; diversity_aware_rank; selection_signal_only_not_ground_truth,PENDING,,
interrupted_2026-09-17_C150,interrupted_2026-09-17,data/clips/interrupted_2026-09-17_C150.mp4,data/processed/selection/previews/interrupted_2026-09-17_C150.jpg,0.429717,HIGH,SMALL_FAR|CROWDED,source_coverage=interrupted_2026-09-17; event_likelihood=HIGH; hardcase=SMALL_FAR|CROWDED; diversity_aware_rank; selection_signal_only_not_ground_truth,PENDING,,
LF_ZmCAo38w_C032,LF_ZmCAo38w,data/clips/LF_ZmCAo38w_C032.mp4,data/processed/selection/previews/LF_ZmCAo38w_C032.jpg,0.438055,HIGH,SMALL_FAR|OCCLUSION|CROWDED,source_coverage=LF_ZmCAo38w; event_likelihood=HIGH; hardcase=SMALL_FAR|OCCLUSION|CROWDED; diversity_aware_rank; selection_signal_only_not_ground_truth,PENDING,,
interrupted_2026-09-17_C167,interrupted_2026-09-17,data/clips/interrupted_2026-09-17_C167.mp4,data/processed/selection/previews/interrupted_2026-09-17_C167.jpg,0.438604,HIGH,SMALL_FAR|CROWDED,source_coverage=interrupted_2026-09-17; event_likelihood=HIGH; hardcase=SMALL_FAR|CROWDED; diversity_aware_rank; selection_signal_only_not_ground_truth,PENDING,,
interrupted_2026-09-17_C180,interrupted_2026-09-17,data/clips/interrupted_2026-09-17_C180.mp4,data/processed/selection/previews/interrupted_2026-09-17_C180.jpg,0.430918,HIGH,SMALL_FAR|OCCLUSION|CROWDED,source_coverage=interrupted_2026-09-17; event_likelihood=HIGH; hardcase=SMALL_FAR|OCCLUSION|CROWDED; diversity_aware_rank; selection_signal_only_not_ground_truth,PENDING,,
LF_ZmCAo38w_C018,LF_ZmCAo38w,data/clips/LF_ZmCAo38w_C018.mp4,data/processed/selection/previews/LF_ZmCAo38w_C018.jpg,0.448632,HIGH,SMALL_FAR|CROWDED,source_coverage=LF_ZmCAo38w; event_likelihood=HIGH; hardcase=SMALL_FAR|CROWDED; diversity_aware_rank; selection_signal_only_not_ground_truth,PENDING,,
interrupted_2026-09-17_C160,interrupted_2026-09-17,data/clips/interrupted_2026-09-17_C160.mp4,data/processed/selection/previews/interrupted_2026-09-17_C160.jpg,0.419583,HIGH,SMALL_FAR|CROWDED|FAST_MOTION,source_coverage=interrupted_2026-09-17; event_likelihood=HIGH; hardcase=SMALL_FAR|CROWDED|FAST_MOTION; diversity_aware_rank; selection_signal_only_not_ground_truth,PENDING,,
interrupted_2026-09-17_C165,interrupted_2026-09-17,data/clips/interrupted_2026-09-17_C165.mp4,data/processed/selection/previews/interrupted_2026-09-17_C165.jpg,0.417125,HIGH,SMALL_FAR|CROWDED,source_coverage=interrupted_2026-09-17; event_likelihood=HIGH; hardcase=SMALL_FAR|CROWDED; diversity_aware_rank; selection_signal_only_not_ground_truth,PENDING,,
interrupted_2026-09-17_C162,interrupted_2026-09-17,data/clips/interrupted_2026-09-17_C162.mp4,data/processed/selection/previews/interrupted_2026-09-17_C162.jpg,0.412153,HIGH,SMALL_FAR|CROWDED,source_coverage=interrupted_2026-09-17; event_likelihood=HIGH; hardcase=SMALL_FAR|CROWDED; diversity_aware_rank; selection_signal_only_not_ground_truth,PENDING,,
YppQ6BEHAKY_C048,YppQ6BEHAKY,data/clips/YppQ6BEHAKY_C048.mp4,data/processed/selection/previews/YppQ6BEHAKY_C048.jpg,0.432678,HIGH,SMALL_FAR,source_coverage=YppQ6BEHAKY; event_likelihood=HIGH; hardcase=SMALL_FAR; diversity_aware_rank; selection_signal_only_not_ground_truth,PENDING,,
